     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      2048,       189,         0,   0.048,herald_mwpm,fea3184fe4e3254ecb07017cbfd232c400b2695a074e9d87ce5508acfdfa3933,"{""config"":""baseline_pauli"",""d"":7,""p"":0.011,""r_e"":0.0,""rounds"":7}",
      3072,       321,         0,   0.074,blind_mwpm,722b0021d81032b1b58ad947fcbd17d3265aa60ab87ac3e75847e635935d9fbc,"{""config"":""baseline_pauli"",""d"":7,""p"":0.011,""r_e"":0.0,""rounds"":7}",
      1024,       281,         0,   0.047,herald_mwpm,6352d6b9d7eac5415b181398765890fb88a9d40436d4db41a58e7190a29600ad,"{""config"":""baseline_pauli"",""d"":7,""p"":0.017,""r_e"":0.0,""rounds"":7}",
      1024,       305,         0,   0.033,blind_mwpm,7c6127a380878c04affa0970f7e4a3fb26a48c1d43ba965fb3da55e89a032b62,"{""config"":""baseline_pauli"",""d"":7,""p"":0.017,""r_e"":0.0,""rounds"":7}",
       273,        85,         0,   0.013,blind_mwpm,62f8c438497d6769375579e676228f2f47ee60cd0eb20b18f23ce8b9e6680ee3,"{""config"":""baseline_pauli"",""d"":7,""p"":0.019,""r_e"":0.0,""rounds"":7}",
       273,        78,         0,   0.018,herald_mwpm,7fe6c314119bd28ddc5fe8814fdcf1b7a5fff4c705468fcfa66470e921d9bf6e,"{""config"":""baseline_pauli"",""d"":7,""p"":0.019,""r_e"":0.0,""rounds"":7}",
      1024,       341,         0,   0.050,blind_mwpm,62f8c438497d6769375579e676228f2f47ee60cd0eb20b18f23ce8b9e6680ee3,"{""config"":""baseline_pauli"",""d"":7,""p"":0.019,""r_e"":0.0,""rounds"":7}",
      1024,       335,         0,   0.063,herald_mwpm,7fe6c314119bd28ddc5fe8814fdcf1b7a5fff4c705468fcfa66470e921d9bf6e,"{""config"":""baseline_pauli"",""d"":7,""p"":0.019,""r_e"":0.0,""rounds"":7}",
      1024,       323,         0,   0.050,blind_mwpm,62f8c438497d6769375579e676228f2f47ee60cd0eb20b18f23ce8b9e6680ee3,"{""config"":""baseline_pauli"",""d"":7,""p"":0.019,""r_e"":0.0,""rounds"":7}",
      1024,       353,         0,   0.055,herald_mwpm,7fe6c314119bd28ddc5fe8814fdcf1b7a5fff4c705468fcfa66470e921d9bf6e,"{""config"":""baseline_pauli"",""d"":7,""p"":0.019,""r_e"":0.0,""rounds"":7}",
       273,        23,         0,   0.020,blind_mwpm,e628c961588a34aaa3efdfa0608b20dc172c3dfdf459dbef282dd7c69ad2726b,"{""config"":""baseline_pauli"",""d"":9,""p"":0.011,""r_e"":0.0,""rounds"":9}",
      1024,       341,         0,   0.046,blind_mwpm,62f8c438497d6769375579e676228f2f47ee60cd0eb20b18f23ce8b9e6680ee3,"{""config"":""baseline_pauli"",""d"":7,""p"":0.019,""r_e"":0.0,""rounds"":7}",
      1024,       327,         0,   0.038,herald_mwpm,7fe6c314119bd28ddc5fe8814fdcf1b7a5fff4c705468fcfa66470e921d9bf6e,"{""config"":""baseline_pauli"",""d"":7,""p"":0.019,""r_e"":0.0,""rounds"":7}",
       273,        41,         0,   0.024,blind_mwpm,6fba3c0eae4a80b5a06d00a4c775cc9d876a81e1f2b314ca9b9e274a19f31261,"{""config"":""baseline_pauli"",""d"":9,""p"":0.013,""r_e"":0.0,""rounds"":9}",
       273,        52,         0,   0.025,herald_mwpm,69e7d52c040af553afb03b8f019c53895a00a506c7d2970d83d8d9a142f274ce,"{""config"":""baseline_pauli"",""d"":9,""p"":0.013,""r_e"":0.0,""rounds"":9}",
       273,        31,         0,   0.025,herald_mwpm,0ca1bfe96ef73f3081201d51894316be5a1ab68d3a0c7e6d25754a200aee3795,"{""config"":""baseline_pauli"",""d"":9,""p"":0.011,""r_e"":0.0,""rounds"":9}",
       273,        78,         0,   0.027,blind_mwpm,1c8197f5337495c0ccd3e95daea1d6806deabda975af73fb02f7b62b8aa56c9e,"{""config"":""baseline_pauli"",""d"":9,""p"":0.015,""r_e"":0.0,""rounds"":9}",
      1024,       109,         0,   0.060,blind_mwpm,e628c961588a34aaa3efdfa0608b20dc172c3dfdf459dbef282dd7c69ad2726b,"{""config"":""baseline_pauli"",""d"":9,""p"":0.011,""r_e"":0.0,""rounds"":9}",
       273,        78,         0,   0.033,herald_mwpm,1e81e49713bfe18aafe7c8ad0e4483d7eb99ce4812f37689a4c7db0ea375a34f,"{""config"":""baseline_pauli"",""d"":9,""p"":0.015,""r_e"":0.0,""rounds"":9}",
      1024,       108,         0,   0.061,herald_mwpm,0ca1bfe96ef73f3081201d51894316be5a1ab68d3a0c7e6d25754a200aee3795,"{""config"":""baseline_pauli"",""d"":9,""p"":0.011,""r_e"":0.0,""rounds"":9}",
